group1,group2,meandiff,p-adj,lower,upper,reject
3,4,-0.0349,1.0,-0.617,0.5472,False
3,5,-0.3772,0.3671,-0.9265,0.172,False
3,6,0.3726,0.3796,-0.1758,0.9209,False
3,7,1.171,0.0,0.618,1.724,True
3,8,1.4764,0.0,0.8911,2.0617,True
4,5,-0.3423,0.0001,-0.5556,-0.129,True
4,6,0.4075,0.0,0.1966,0.6183,True
4,7,1.2059,0.0,0.9832,1.4286,True
4,8,1.5113,0.0,1.2174,1.8053,True
5,6,0.7498,0.0,0.6642,0.8353,True
5,7,1.5482,0.0,1.4367,1.6598,True
5,8,1.8536,0.0,1.6317,2.0756,True
6,7,0.7985,0.0,0.6916,0.9053,True
6,8,1.1039,0.0,0.8843,1.3235,True
7,8,0.3054,0.0023,0.0744,0.5364,True
